timestamp,heart_rate,power,cadence,speed,altitude,distance,temperature,target_power,target_cadence,interval_type,interval_index,power_target_type
,104,104,68,,98.60000000000002,,,,,,,
,106,106,69,,98.79999999999995,,,,,,,
,104,102,69,,99.0,,,,,,,
,104,97,69,,99.20000000000005,,,,,,,
,102,95,69,,99.39999999999998,,,,,,,
,101,96,69,,99.39999999999998,,,,,,,
,101,95,69,,99.60000000000002,,,,,,,
,102,96,69,,99.79999999999995,,,,,,,
,102,94,68,,99.79999999999995,,,,,,,
,102,96,68,,100.0,,,,,,,
,104,96,68,,100.0,,,,,,,
,107,102,68,,100.0,,,,,,,
,109,118,68,,100.20000000000005,,,,,,,
,110,101,68,,100.20000000000005,,,,,,,
,111,90,69,,100.20000000000005,,,,,,,
,107,95,68,,100.20000000000005,,,,,,,
,105,99,69,,100.0,,,,,,,
,104,100,68,,100.0,,,,,,,
,104,101,68,,100.0,,,,,,,
,104,107,68,,99.79999999999995,,,,,,,
,105,125,70,,99.79999999999995,,,,,,,
,109,110,70,,99.60000000000002,,,,,,,
,110,95,70,,99.39999999999998,,,,,,,
,111,92,69,,99.39999999999998,,,,,,,
,111,88,71,,99.20000000000005,,,,,,,
,111,90,69,,99.0,,,,,,,
,109,101,68,,98.79999999999995,,,,,,,
,105,98,70,,98.60000000000002,,,,,,,
,105,102,70,,98.39999999999998,,,,,,,
,105,112,68,,98.0,,,,,,,
,107,114,69,,97.79999999999995,,,,,,,
,107,109,67,,97.60000000000002,,,,,,,
,107,113,70,,97.20000000000005,,,,,,,
,106,115,69,,97.0,,,,,,,
,107,113,70,,96.60000000000002,,,,,,,
,107,115,72,,96.20000000000005,,,,,,,
,107,115,69,,96.0,,,,,,,
,107,107,71,,95.60000000000002,,,,,,,
,107,102,71,,95.20000000000005,,,,,,,
,108,112,69,,95.0,,,,,,,
,110,116,71,,94.60000000000002,,,,,,,
,111,113,71,,94.20000000000005,,,,,,,
,112,114,72,,93.79999999999995,,,,,,,
,114,113,72,,93.39999999999998,,,,,,,
,114,105,69,,93.20000000000005,,,,,,,
,115,104,72,,92.79999999999995,,,,,,,
,115,119,71,,92.39999999999998,,,,,,,
,115,123,71,,92.20000000000005,,,,,,,
,114,115,71,,91.79999999999995,,,,,,,
,114,105,69,,91.39999999999998,,,,,,,
,114,104,70,,91.20000000000005,,,,,,,
,114,102,70,,90.79999999999995,,,,,,,
,113,108,70,,90.39999999999998,,,,,,,
,112,114,70,,90.20000000000005,,,,,,,
,112,118,70,,89.79999999999995,,,,,,,
,110,119,71,,89.60000000000002,,,,,,,
,109,119,70,,89.20000000000005,,,,,,,
,109,122,71,,88.79999999999995,,,,,,,
,110,127,69,,88.60000000000002,,,,,,,
,110,119,70,,88.20000000000005,,,,,,,
,109,112,70,,87.79999999999995,,,,,,,
,110,109,70,,87.60000000000002,,,,,,,
,111,116,71,,87.20000000000005,,,,,,,
,113,123,71,,87.0,,,,,,,
,114,125,71,,86.60000000000002,,,,,,,
,115,119,71,,86.20000000000005,,,,,,,
,114,116,71,,85.79999999999995,,,,,,,
,114,119,72,,85.60000000000002,,,,,,,
,113,113,72,,85.20000000000005,,,,,,,
,111,107,72,,84.79999999999995,,,,,,,
,110,110,72,,84.39999999999998,,,,,,,
,110,113,71,,84.0,,,,,,,
,110,110,73,,83.39999999999998,,,,,,,
,113,108,69,,83.0,,,,,,,
,113,109,74,,82.39999999999998,,,,,,,
,114,115,72,,81.79999999999995,,,,,,,
,115,125,72,,81.20000000000005,,,,,,,
,115,133,69,,80.39999999999998,,,,,,,
,114,139,72,,79.79999999999995,,,,,,,
,114,125,74,,79.20000000000005,,,,,,,
,114,114,71,,78.60000000000002,,,,,,,
,108,112,72,,77.79999999999995,,,,,,,
,107,114,73,,77.20000000000005,,,,,,,
,107,115,72,,76.39999999999998,,,,,,,
,108,118,73,,75.79999999999995,,,,,,,
,109,115,71,,75.39999999999998,,,,,,,
,110,115,72,,74.79999999999995,,,,,,,
,110,113,70,,74.60000000000002,,,,,,,
,111,111,70,,74.20000000000005,,,,,,,
,111,109,71,,73.79999999999995,,,,,,,
,111,111,69,,73.60000000000002,,,,,,,
,110,124,70,,73.20000000000005,,,,,,,
,107,128,71,,72.79999999999995,,,,,,,
,107,137,71,,72.60000000000002,,,,,,,
,106,139,70,,72.20000000000005,,,,,,,
,106,118,71,,71.79999999999995,,,,,,,
,108,124,71,,71.39999999999998,,,,,,,
,111,118,72,,70.79999999999995,,,,,,,
,111,113,71,,70.20000000000005,,,,,,,
,112,111,71,,69.60000000000002,,,,,,,
,112,117,71,,69.20000000000005,,,,,,,
,112,127,71,,68.79999999999995,,,,,,,
,113,133,72,,68.39999999999998,,,,,,,
,112,138,71,,68.20000000000005,,,,,,,
,110,141,71,,67.79999999999995,,,,,,,
,109,136,72,,67.60000000000002,,,,,,,
,109,136,72,,67.20000000000005,,,,,,,
,110,123,73,,67.0,,,,,,,
,113,116,72,,66.79999999999995,,,,,,,
,113,109,72,,66.60000000000002,,,,,,,
,114,111,72,,66.20000000000005,,,,,,,
,115,125,73,,66.0,,,,,,,
,117,128,72,,65.60000000000002,,,,,,,
,117,121,72,,65.39999999999998,,,,,,,
,116,122,72,,65.20000000000005,,,,,,,
,115,125,72,,65.0,,,,,,,
,115,125,72,,64.60000000000002,,,,,,,
,115,125,72,,64.39999999999998,,,,,,,
,115,129,72,,64.0,,,,,,,
,116,124,74,,63.60000000000002,,,,,,,
,116,120,72,,63.200000000000045,,,,,,,
,118,120,71,,62.79999999999996,,,,,,,
,118,125,73,,62.60000000000002,,,,,,,
,118,126,71,,62.200000000000045,,,,,,,
,118,123,74,,62.0,,,,,,,
,118,124,72,,62.0,,,,,,,
,118,126,72,,61.79999999999996,,,,,,,
,120,127,73,,61.79999999999996,,,,,,,
,120,121,73,,61.60000000000002,,,,,,,
,119,123,73,,61.39999999999998,,,,,,,
,119,129,72,,61.200000000000045,,,,,,,
,119,123,72,,61.0,,,,,,,
,119,119,73,,60.60000000000002,,,,,,,
,119,120,70,,60.200000000000045,,,,,,,
,118,127,72,,60.0,,,,,,,
,118,140,72,,59.60000000000002,,,,,,,
,118,139,73,,59.39999999999998,,,,,,,
,118,138,71,,59.0,,,,,,,
,117,135,71,,58.79999999999996,,,,,,,
,115,132,74,,58.60000000000002,,,,,,,
,115,138,70,,58.200000000000045,,,,,,,
,114,134,73,,58.0,,,,,,,
,115,124,72,,58.0,,,,,,,
,115,123,71,,57.79999999999996,,,,,,,
,115,127,71,,57.60000000000002,,,,,,,
,115,128,71,,57.60000000000002,,,,,,,
,115,133,71,,57.60000000000002,,,,,,,
,115,140,71,,57.60000000000002,,,,,,,
,115,147,70,,57.60000000000002,,,,,,,
,114,145,70,,57.60000000000002,,,,,,,
,114,135,71,,57.60000000000002,,,,,,,
,113,127,71,,57.79999999999996,,,,,,,
,113,126,72,,57.79999999999996,,,,,,,
,115,128,72,,57.79999999999996,,,,,,,
,115,126,72,,57.79999999999996,,,,,,,
,115,126,71,,57.79999999999996,,,,,,,
,115,129,71,,57.79999999999996,,,,,,,
,115,132,71,,57.79999999999996,,,,,,,
,115,135,71,,57.79999999999996,,,,,,,
,115,159,71,,57.79999999999996,,,,,,,
,115,161,71,,57.79999999999996,,,,,,,
,115,133,72,,57.79999999999996,,,,,,,
,116,130,72,,57.79999999999996,,,,,,,
,117,132,73,,57.79999999999996,,,,,,,
,118,126,73,,57.79999999999996,,,,,,,
,118,122,73,,57.79999999999996,,,,,,,
,118,121,74,,57.79999999999996,,,,,,,
,119,124,73,,57.79999999999996,,,,,,,
,119,136,74,,57.79999999999996,,,,,,,
,119,154,73,,57.79999999999996,,,,,,,
,120,154,74,,57.79999999999996,,,,,,,
,120,131,75,,57.79999999999996,,,,,,,
,120,121,76,,57.79999999999996,,,,,,,
,121,123,75,,57.79999999999996,,,,,,,
,120,125,74,,57.79999999999996,,,,,,,
,120,129,73,,57.79999999999996,,,,,,,
,120,127,74,,57.79999999999996,,,,,,,
,120,119,75,,57.79999999999996,,,,,,,
,120,129,73,,57.79999999999996,,,,,,,
,120,135,70,,57.79999999999996,,,,,,,
,120,134,76,,57.79999999999996,,,,,,,
,120,132,76,,57.79999999999996,,,,,,,
,121,130,74,,57.79999999999996,,,,,,,
,120,126,73,,57.79999999999996,,,,,,,
,120,127,74,,57.79999999999996,,,,,,,
,117,121,73,,57.79999999999996,,,,,,,
,117,122,73,,57.79999999999996,,,,,,,
,115,125,73,,57.79999999999996,,,,,,,
,115,126,73,,57.79999999999996,,,,,,,
,116,132,73,,57.79999999999996,,,,,,,
,117,135,74,,57.79999999999996,,,,,,,
,117,139,73,,57.60000000000002,,,,,,,
,118,139,73,,57.60000000000002,,,,,,,
,119,135,73,,57.39999999999998,,,,,,,
,119,133,73,,57.39999999999998,,,,,,,
,116,131,73,,57.200000000000045,,,,,,,
,114,135,72,,57.200000000000045,,,,,,,
,115,144,72,,57.0,,,,,,,
,115,142,73,,57.0,,,,,,,
,115,146,72,,56.79999999999996,,,,,,,
,116,155,72,,56.79999999999996,,,,,,,
,118,156,73,,56.79999999999996,,,,,,,
,119,150,73,,56.79999999999996,,,,,,,
,120,149,74,,56.60000000000002,,,,,,,
,120,142,75,,56.60000000000002,,,,,,,
,120,139,75,,56.60000000000002,,,,,,,
,119,132,75,,56.60000000000002,,,,,,,
,118,129,75,,56.79999999999996,,,,,,,
,118,136,74,,56.79999999999996,,,,,,,
,118,133,74,,56.79999999999996,,,,,,,
,119,129,74,,56.79999999999996,,,,,,,
,120,127,74,,57.0,,,,,,,
,120,132,75,,57.0,,,,,,,
,122,144,74,,57.200000000000045,,,,,,,
,122,140,74,,57.200000000000045,,,,,,,
,122,137,74,,57.39999999999998,,,,,,,
,120,137,76,,57.39999999999998,,,,,,,
,120,134,72,,57.60000000000002,,,,,,,
,118,134,74,,57.79999999999996,,,,,,,
,118,131,75,,57.79999999999996,,,,,,,
,118,134,74,,58.0,,,,,,,
,119,138,70,,58.0,,,,,,,
,119,142,71,,58.200000000000045,,,,,,,
,119,136,74,,58.39999999999998,,,,,,,
,120,140,73,,58.60000000000002,,,,,,,
,121,157,72,,58.79999999999996,,,,,,,
,121,169,72,,59.0,,,,,,,
,121,168,73,,59.200000000000045,,,,,,,
,121,168,73,,59.39999999999998,,,,,,,
,120,170,74,,59.39999999999998,,,,,,,
,120,151,74,,59.60000000000002,,,,,,,
,120,138,75,,59.79999999999996,,,,,,,
,120,136,74,,59.79999999999996,,,,,,,
,120,140,75,,59.79999999999996,,,,,,,
,121,146,71,,59.79999999999996,,,,,,,
,122,144,74,,59.79999999999996,,,,,,,
,122,143,73,,59.60000000000002,,,,,,,
,122,150,75,,59.60000000000002,,,,,,,
,122,149,74,,59.39999999999998,,,,,,,
,122,139,74,,59.39999999999998,,,,,,,
,121,146,73,,59.200000000000045,,,,,,,
,121,155,73,,59.0,,,,,,,
,121,147,74,,59.0,,,,,,,
,121,146,74,,58.79999999999996,,,,,,,
,121,145,73,,58.60000000000002,,,,,,,
,122,142,74,,58.39999999999998,,,,,,,
,122,148,73,,58.39999999999998,,,,,,,
,123,150,73,,58.200000000000045,,,,,,,
,124,155,72,,58.0,,,,,,,
,123,150,73,,58.0,,,,,,,
,122,149,74,,57.79999999999996,,,,,,,
,122,147,74,,57.60000000000002,,,,,,,
,121,148,74,,57.60000000000002,,,,,,,
,121,154,75,,57.39999999999998,,,,,,,
,122,149,75,,57.200000000000045,,,,,,,
,123,142,74,,57.200000000000045,,,,,,,
,124,146,74,,57.0,,,,,,,
,124,158,74,,56.79999999999996,,,,,,,
,125,160,74,,56.60000000000002,,,,,,,
,125,158,74,,56.60000000000002,,,,,,,
,125,150,75,,56.39999999999998,,,,,,,
,125,144,74,,56.39999999999998,,,,,,,
,125,142,75,,56.39999999999998,,,,,,,
,125,144,77,,56.200000000000045,,,,,,,
,125,148,72,,56.0,,,,,,,
,127,148,74,,55.60000000000002,,,,,,,
,128,145,75,,55.39999999999998,,,,,,,
,127,144,75,,55.200000000000045,,,,,,,
,125,146,74,,55.0,,,,,,,
,125,162,72,,55.0,,,,,,,
,125,152,76,,55.0,,,,,,,
,125,148,71,,55.200000000000045,,,,,,,
,124,161,73,,55.39999999999998,,,,,,,
,125,169,71,,55.39999999999998,,,,,,,
,126,184,72,,55.39999999999998,,,,,,,
,126,183,74,,55.39999999999998,,,,,,,
,127,177,73,,55.200000000000045,,,,,,,
,128,172,76,,55.200000000000045,,,,,,,
,129,167,73,,55.0,,,,,,,
,129,163,74,,54.79999999999996,,,,,,,
,128,163,75,,54.79999999999996,,,,,,,
,128,160,74,,54.60000000000002,,,,,,,
,128,161,74,,54.60000000000002,,,,,,,
,128,161,75,,54.60000000000002,,,,,,,
,128,159,77,,54.60000000000002,,,,,,,
,129,159,74,,54.60000000000002,,,,,,,
,129,155,74,,54.60000000000002,,,,,,,
,130,168,75,,54.60000000000002,,,,,,,
,130,162,75,,54.39999999999998,,,,,,,
,130,161,75,,54.200000000000045,,,,,,,
,130,163,75,,54.0,,,,,,,
,128,154,75,,53.60000000000002,,,,,,,
,127,144,75,,53.200000000000045,,,,,,,
,126,138,75,,52.79999999999996,,,,,,,
,125,150,75,,52.200000000000045,,,,,,,
,124,161,75,,51.79999999999996,,,,,,,
,124,163,74,,51.60000000000002,,,,,,,
,124,168,74,,51.200000000000045,,,,,,,
,125,163,74,,51.0,,,,,,,
,126,166,74,,50.79999999999996,,,,,,,
,126,161,74,,50.60000000000002,,,,,,,
,126,162,74,,50.39999999999998,,,,,,,
,126,169,73,,50.0,,,,,,,
,125,171,74,,49.60000000000002,,,,,,,
,124,160,73,,49.39999999999998,,,,,,,
,124,154,72,,49.0,,,,,,,
,123,164,73,,48.60000000000002,,,,,,,
,122,177,73,,48.200000000000045,,,,,,,
,123,171,73,,47.60000000000002,,,,,,,
,124,170,73,,47.0,,,,,,,
,125,166,72,,46.39999999999998,,,,,,,
,126,162,73,,46.200000000000045,,,,,,,
,126,166,73,,45.79999999999996,,,,,,,
,126,171,71,,45.39999999999998,,,,,,,
,126,168,76,,45.0,,,,,,,
,126,171,72,,44.79999999999996,,,,,,,
,125,169,76,,44.39999999999998,,,,,,,
,123,163,73,,44.200000000000045,,,,,,,
,123,173,76,,44.0,,,,,,,
,124,174,73,,43.60000000000002,,,,,,,
,125,168,75,,43.39999999999998,,,,,,,
,126,161,74,,43.0,,,,,,,
,126,163,77,,42.79999999999996,,,,,,,
,127,161,74,,42.39999999999998,,,,,,,
,127,158,75,,42.0,,,,,,,
,125,162,74,,41.60000000000002,,,,,,,
,124,155,75,,41.200000000000045,,,,,,,
,124,164,73,,40.79999999999996,,,,,,,
,124,177,77,,40.200000000000045,,,,,,,
,125,170,75,,39.60000000000002,,,,,,,
,126,172,76,,39.200000000000045,,,,,,,
,126,165,74,,38.60000000000002,,,,,,,
,127,159,78,,38.200000000000045,,,,,,,
,129,165,74,,37.79999999999996,,,,,,,
,129,175,76,,37.39999999999998,,,,,,,
,129,171,75,,37.0,,,,,,,
,128,153,76,,36.60000000000002,,,,,,,
,128,151,76,,36.200000000000045,,,,,,,
,128,155,76,,35.799999999999955,,,,,,,
,128,164,76,,35.39999999999998,,,,,,,
,128,162,75,,35.0,,,,,,,
,128,158,75,,34.60000000000002,,,,,,,
,128,164,75,,34.200000000000045,,,,,,,
,129,179,75,,33.799999999999955,,,,,,,
,130,176,76,,33.200000000000045,,,,,,,
,130,163,75,,32.799999999999955,,,,,,,
,130,165,75,,32.39999999999998,,,,,,,
,130,171,76,,31.799999999999955,,,,,,,
,129,163,76,,31.399999999999977,,,,,,,
,125,164,76,,31.0,,,,,,,
,125,173,75,,30.600000000000023,,,,,,,
,126,164,76,,30.200000000000045,,,,,,,
,126,167,76,,29.799999999999955,,,,,,,
,127,165,76,,29.399999999999977,,,,,,,
,128,162,77,,29.0,,,,,,,
,129,175,76,,28.600000000000023,,,,,,,
,131,171,77,,28.399999999999977,,,,,,,
,131,165,77,,28.0,,,,,,,
,131,167,77,,27.600000000000023,,,,,,,
,131,181,79,,27.200000000000045,,,,,,,
,130,178,77,,27.0,,,,,,,
,130,164,77,,26.399999999999977,,,,,,,
,128,154,78,,26.0,,,,,,,
,128,163,78,,25.600000000000023,,,,,,,
,128,164,75,,25.200000000000045,,,,,,,
,129,166,77,,24.799999999999955,,,,,,,
,129,179,77,,24.399999999999977,,,,,,,
,129,169,77,,24.0,,,,,,,
,130,173,76,,23.600000000000023,,,,,,,
,130,179,77,,23.200000000000045,,,,,,,
,131,180,77,,22.799999999999955,,,,,,,
,131,176,79,,22.399999999999977,,,,,,,
,132,166,77,,22.0,,,,,,,
,132,172,80,,21.600000000000023,,,,,,,
,132,173,77,,21.399999999999977,,,,,,,
,132,165,77,,21.399999999999977,,,,,,,
,132,160,78,,21.399999999999977,,,,,,,
,133,168,77,,21.399999999999977,,,,,,,
,133,162,77,,21.399999999999977,,,,,,,
,134,155,77,,21.399999999999977,,,,,,,
,134,162,76,,21.600000000000023,,,,,,,
,134,172,75,,21.600000000000023,,,,,,,
,134,168,78,,21.600000000000023,,,,,,,
,134,170,75,,21.600000000000023,,,,,,,
,134,166,77,,21.600000000000023,,,,,,,
,134,172,76,,21.600000000000023,,,,,,,
,133,166,76,,21.600000000000023,,,,,,,
,134,172,76,,21.600000000000023,,,,,,,
