timestamp,heart_rate,power,cadence,speed,altitude,distance,temperature,target_power,target_cadence,interval_type,interval_index,power_target_type
0.0,102.0,22.0,2.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
1.0,102.0,22.0,2.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
2.0,103.0,22.0,2.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
3.0,103.0,58.0,2.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
4.0,106.0,58.0,2.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
5.0,107.0,99.0,5.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
6.0,108.0,99.0,5.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
7.0,111.0,152.0,5.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
8.0,111.0,152.0,5.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
9.0,113.0,182.0,8.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
10.0,114.0,182.0,8.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
11.0,115.0,191.0,8.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
12.0,116.0,196.0,21.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
13.0,116.0,196.0,14.0,0.0,12.799999999999956,0.0,0.0,0.0,,warmup,1,watts
14.0,116.0,184.0,25.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
15.0,116.0,171.0,18.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
16.0,116.0,164.0,30.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
17.0,115.0,155.0,22.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
18.0,115.0,146.0,34.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
19.0,115.0,126.0,27.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
20.0,115.0,119.0,37.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
21.0,115.0,114.0,41.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
22.0,114.0,108.0,35.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
23.0,114.0,103.0,43.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
24.0,114.0,97.0,45.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
25.0,114.0,94.0,46.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
26.0,114.0,88.0,48.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
27.0,113.0,85.0,45.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
28.0,111.0,84.0,50.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
29.0,111.0,86.0,52.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
30.0,111.0,85.0,53.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
31.0,111.0,81.0,54.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
32.0,112.0,84.0,56.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
33.0,113.0,93.0,56.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
34.0,114.0,89.0,61.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
35.0,114.0,76.0,57.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
36.0,115.0,73.0,58.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
37.0,116.0,69.0,59.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
38.0,116.0,68.0,59.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
39.0,115.0,71.0,59.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
40.0,114.0,73.0,60.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
41.0,114.0,74.0,60.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
42.0,113.0,79.0,61.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
43.0,114.0,76.0,62.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
44.0,113.0,76.0,62.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
45.0,112.0,80.0,63.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
46.0,111.0,74.0,64.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
47.0,111.0,66.0,64.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
48.0,111.0,67.0,64.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
49.0,112.0,76.0,64.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
50.0,113.0,78.0,65.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
51.0,113.0,78.0,65.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
52.0,113.0,76.0,66.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
53.0,110.0,79.0,66.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
54.0,109.0,81.0,66.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
55.0,108.0,85.0,67.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
56.0,108.0,80.0,67.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
57.0,108.0,73.0,68.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
58.0,107.0,70.0,68.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
59.0,108.0,75.0,69.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
60.0,108.0,80.0,69.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
61.0,108.0,83.0,68.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
62.0,109.0,81.0,69.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
63.0,108.0,78.0,72.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
64.0,108.0,95.0,71.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
65.0,107.0,95.0,72.0,0.0,13.0,0.0,0.0,0.0,,warmup,1,watts
66.0,107.0,79.0,71.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
67.0,108.0,80.0,71.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
68.0,110.0,81.0,72.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
69.0,112.0,77.0,70.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
70.0,112.0,81.0,71.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
71.0,110.0,85.0,73.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
72.0,106.0,85.0,73.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
73.0,104.0,84.0,73.0,0.0,13.200000000000044,0.0,0.0,0.0,,warmup,1,watts
74.0,103.0,79.0,72.0,0.0,13.399999999999975,0.0,0.0,0.0,,warmup,1,watts
75.0,102.0,82.0,70.0,0.0,13.399999999999975,0.0,0.0,0.0,,warmup,1,watts
76.0,102.0,80.0,75.0,0.0,13.399999999999975,0.0,0.0,0.0,,warmup,1,watts
77.0,102.0,77.0,71.0,0.0,13.399999999999975,0.0,0.0,0.0,,warmup,1,watts
78.0,103.0,78.0,73.0,0.0,13.600000000000025,0.0,0.0,0.0,,warmup,1,watts
79.0,105.0,83.0,73.0,0.0,13.600000000000025,0.0,0.0,0.0,,warmup,1,watts
80.0,105.0,93.0,73.0,0.0,13.600000000000025,0.0,0.0,0.0,,warmup,1,watts
81.0,106.0,82.0,73.0,0.0,13.799999999999956,0.0,0.0,0.0,,warmup,1,watts
82.0,107.0,79.0,73.0,0.0,13.799999999999956,0.0,0.0,0.0,,warmup,1,watts
83.0,107.0,79.0,73.0,0.0,14.0,0.0,0.0,0.0,,warmup,1,watts
84.0,105.0,77.0,73.0,0.0,14.0,0.0,0.0,0.0,,warmup,1,watts
85.0,104.0,79.0,73.0,0.0,14.0,0.0,0.0,0.0,,warmup,1,watts
86.0,101.0,85.0,73.0,0.0,14.200000000000044,0.0,0.0,0.0,,warmup,1,watts
87.0,98.0,89.0,73.0,0.0,14.200000000000044,0.0,0.0,0.0,,warmup,1,watts
88.0,97.0,81.0,73.0,0.0,14.399999999999975,0.0,0.0,0.0,,warmup,1,watts
