interval_index,type,start_time,end_time,duration,data_points,target_power_pct,target_cadence,power_actual_avg,power_target_avg,power_variance,power_std,power_compliance_pct,power_actual_min,power_actual_max,cadence_actual_avg,cadence_target_avg,cadence_variance,cadence_std,cadence_compliance_pct,cadence_actual_min,cadence_actual_max,hr_initial,hr_final,hr_avg,hr_drift_absolute,hr_drift_relative
1,warmup,0.0,600.0,600.0,601,0.74979997,0.0,134.92013311148085,0.0,134.92013311148085,31.18381434840172,0.0,52.0,195.0,67.98336106489185,0.0,67.98336106489185,13.490603743016155,0.0,1.0,80.0,93.0,136.0,117.94841930116472,43.0,46.236559139784944
2,steadystate,600.0,6000.0,5400.0,5396,0.72179997,70.0,179.61582653817644,180.38310962657522,-0.7672830883987842,12.216676855995894,99.57463695465324,0.0,249.0,70.0648628613788,70.0,0.06486286137879915,4.033531787861827,99.90733876945885,0.0,85.0,136.0,162.0,148.117123795404,26.0,19.11764705882353
3,cooldown,6000.0,6600.0,600.0,601,0.80180001,0.0,133.4475873544093,0.0,133.4475873544093,41.65638404457881,0.0,47.0,248.0,64.7936772046589,0.0,64.7936772046589,15.509051979052842,0.0,32.0,93.0,162.0,120.0,149.95840266222962,-42.0,-25.925925925925924
