interval_index,type,start_time,end_time,duration,data_points,target_power_pct,target_cadence,power_actual_avg,power_target_avg,power_variance,power_std,power_compliance_pct,power_actual_min,power_actual_max,cadence_actual_avg,cadence_target_avg,cadence_variance,cadence_std,cadence_compliance_pct,cadence_actual_min,cadence_actual_max,hr_initial,hr_final,hr_avg,hr_drift_absolute,hr_drift_relative
1,warmup,0.0,600.0,600.0,571,0.74979997,0.0,111.12259194395797,0.0,111.12259194395797,49.46693771909807,0.0,0.0,282.0,67.10507880910683,0.0,67.10507880910683,24.714996345050984,0.0,0.0,111.0,102.0,131.0,112.96497373029773,29.0,28.431372549019606
2,steadystate,600.0,7200.0,6600.0,6601,0.68180001,90.0,169.101802757158,170.3983588088926,-1.2965560517345978,12.434943363222203,99.23910296977172,0.0,337.0,89.92289047114073,90.0,-0.07710952885926758,3.324649702436439,99.91432274571193,0.0,122.0,131.0,149.0,144.29374337221634,18.0,13.740458015267176
3,cooldown,7200.0,7800.0,600.0,601,0.75,0.0,139.60399334442596,0.0,139.60399334442596,32.22756972986466,0.0,72.0,210.0,81.15474209650583,0.0,81.15474209650583,9.485656626808092,0.0,58.0,104.0,149.0,127.0,143.08153078202994,-22.0,-14.76510067114094
